Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,Change from Open,Gap,Volume
DUOL,0.98,20.29,0.065,0.3393,0.6025,-0.0433,2.5943,71.87,521.36,0.0069,1.77%,-0.0106,263884.0
DVN,1.08,1.12,-0.0275,-0.0451,-0.1534,-0.36700000000000005,0.1998,44.04,31.06,-0.0025,1.31%,-0.0154,3311010.0
DXCM,1.45,2.58,0.0348,0.1463,0.1182,-0.34850000000000003,0.47200000000000003,62.4,84.67,-0.0019,0.87%,-0.0105,828812.0
EA,0.73,3.38,-0.0191,0.0105,0.0134,-0.1264,0.2776,47.84,147.19,0.0038,0.22%,0.0016,949085.0
EBAY,1.27,1.82,0.0298,0.0696,0.1159,-0.0123,0.4022,63.24,72.05,-0.0014000000000000002,0.66%,-0.008,1905041.0
EBR,0.67,0.2,-0.026000000000000002,0.0001,0.0868,-0.061900000000000004,0.3471,47.15,7.34,-0.0007000000000000001,2.73%,-0.027200000000000002,818772.0
EC,0.94,0.28,0.024700000000000003,-0.061,-0.0458,-0.3232,0.18170000000000003,47.77,8.52,0.0059,1.43%,-0.0083,773912.0
ECL,1.04,4.71,0.022799999999999997,0.048799999999999996,0.0449,-0.049,0.1779,61.86,260.27,0.0023,0.40%,-0.0016,275800.0
ED,0.26,2.35,-0.0301,-0.0424,0.0269,-0.0973,0.188,42.34,103.69,0.0026,-0.66%,0.009300000000000001,599387.0
EFX,1.65,8.37,-0.0165,0.063,-0.0067,-0.1505,0.3153,51.66,263.04,-0.0014000000000000002,1.03%,-0.0116,221066.0
EIX,0.79,1.45,0.0017000000000000001,-0.0073,-0.2022,-0.3629,0.1528,49.09,56.56,0.006,0.33%,0.0027,583830.0
