Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume
ATO,24940000000.0,0.022400000000000003,0.0446,0.09179999999999999,0.0526,1.33,1.25,0.65,0.65,0.42469999999999997,0.33299999999999996,0.25329999999999997,May 07/a,157.04,0.011200000000000002,404823.0
AU,22250000000.0,0.054299999999999994,0.0941,0.1942,0.1137,2.34,1.57,0.3,0.33,0.31379999999999997,0.26890000000000003,0.17329999999999998,May 27/b,44.19,0.030699999999999998,1407929.0
AUR,10670000000.0,,-0.3803,-0.4343,-0.4199,9.54,9.54,0.06,0.06,,,,May 08/a,6.03,0.0,7635000.0
AVGO,1080630000000.0001,0.0103,0.060599999999999994,0.1485,0.0771,1.0,0.91,0.87,0.95,0.5959,0.3482,0.18469999999999998,Jun 05/a,229.82,-0.0031,7694176.0
AWK,27880000000.0,0.022799999999999997,0.0333,0.1043,0.044800000000000006,0.49,0.44,1.27,1.38,0.4339,0.3661,0.2224,Apr 30/a,142.95,0.0077,265764.0
AXP,200470000000.0,0.0115,0.037000000000000005,0.34020000000000006,0.12300000000000001,,,1.64,1.69,0.6089,0.20120000000000002,0.1346,Apr 17/b,286.15,-0.0036,784475.0
AZN,218300000000.0,0.0229,0.0745,0.1981,0.1128,0.9,0.7,0.68,0.77,0.7258,0.20629999999999998,0.1414,Apr 29/b,70.39,0.0063,2409381.0
B,32820000000.0,0.0212,0.049400000000000006,0.09699999999999999,0.0797,2.87,2.16,0.19,0.19,0.37229999999999996,0.3579,0.175,May 07/b,19.08,0.0222,7124482.0
BA,152440000000.0,0.0002,-0.0791,,-0.2751,1.23,0.37,,,-0.0203,-0.1463,-0.1678,Apr 23/b,202.17,-0.0060999999999999995,2667965.0
BABA,288940000000.0,0.0088,0.073,0.1304,0.10710000000000001,1.55,1.48,0.21,0.23,0.3932,0.1469,0.1303,May 15/b,120.68,-0.0066,5065347.0
BAC,326170000000.0,0.025,0.0084,0.0946,0.0446,0.96,,1.0,2.47,,0.1534,0.1328,Apr 15/b,43.31,-0.0001,19396182.0
BAH,13730000000.0,0.0207,0.1301,0.7534000000000001,0.18469999999999998,1.57,1.57,2.87,2.97,0.2227,0.11630000000000001,0.07339999999999999,May 23/b,108.43,-0.1603,5988904.0
BALL,14390000000.0,0.0155,0.0278,0.0823,0.0475,1.04,0.7,1.16,1.28,0.1548,0.10099999999999999,0.046900000000000004,May 06/b,51.88,-0.0269,1266756.0
BAM,91870000000.0,0.030299999999999997,0.11230000000000001,0.1909,0.11689999999999999,,,0.03,0.18,0.7442,0.41009999999999996,0.7188,May 06/b,56.97,-0.004699999999999999,699153.0
BAX,15450000000.0,0.0321,-0.0278,-0.08960000000000001,-0.0335,2.02,1.4,1.36,1.46,0.3601,0.0733,-0.0471,May 01/b,30.1,-0.0055000000000000005,820753.0
BBD,14830000000.0,0.0787,0.0089,0.1061,0.045599999999999995,0.45,,1.46,3.94,,0.07440000000000001,0.0604,May 09/b,2.8,0.0127,46123352.0
BBVA,87030000000.0,0.0603,0.0131,0.19219999999999998,0.06559999999999999,0.26,,1.85,2.52,,0.2782,0.12369999999999999,Apr 29/b,15.13,-0.0174,1067713.0
BBY,14920000000.0,0.054900000000000004,0.0623,0.31629999999999997,0.1487,1.03,0.39,1.22,1.44,0.2255,0.0418,0.0223,May 29/b,70.5,-0.0037,1868097.0
BCE,19790000000.0,0.08349999999999999,0.0073,0.028300000000000002,0.0070999999999999995,0.58,0.54,1.95,2.26,0.3066,0.22760000000000002,0.014499999999999999,May 08/b,21.47,-0.0002,759922.0
BCS,63300000000.0,0.0276,0.0034999999999999996,0.09359999999999999,0.0273,5.67,,2.31,2.86,,0.3151,0.20440000000000003,Apr 30/b,17.74,0.005600000000000001,11895330.0
BDX,49000000000.0,0.0227,0.027999999999999997,0.059699999999999996,0.0354,1.13,0.64,0.7,0.76,0.4464,0.1307,0.0728,May 01/b,170.96,-0.0078000000000000005,819410.0
BEKE,21080000000.0,0.018600000000000002,0.0361,0.0653,0.0582,1.33,1.33,0.12,0.32,0.23550000000000001,0.0447,0.0447,May 15/b,18.4,0.0040999999999999995,1975572.0
BEN,11330000000.0,0.0592,0.011000000000000001,0.028399999999999998,0.013999999999999999,,,1.07,1.07,0.7111,0.12710000000000002,0.0412,May 02/b,21.55,-0.0026,1438087.0
BF-B,16040000000.0,0.026099999999999998,0.1213,0.2799,0.15990000000000001,3.49,1.49,0.62,0.75,0.5915,0.2748,0.2455,Jun 05/b,33.99,-0.0070999999999999995,489355.0
BG,10480000000.0,0.0354,0.0417,0.1036,0.06860000000000001,2.04,1.09,0.51,0.72,0.0602,0.0268,0.0213,May 07/b,77.98,0.0023,379559.0
BHP,126310000000.0,0.0431,0.11320000000000001,0.2613,0.1741,1.7,1.25,0.43,0.44,0.38549999999999995,0.38549999999999995,0.21230000000000002,Feb 17/a,49.78,0.0128,1083997.0
BIDU,23490000000.0,,0.0587,0.09849999999999999,0.073,2.29,2.29,0.3,0.38,0.49060000000000004,0.1514,0.18969999999999998,May 21/b,83.92,-0.0018,2244068.0
BIIB,18370000000.0,,0.0542,0.0919,0.0677,1.44,1.01,0.29,0.39,0.6654000000000001,0.2262,0.1573,May 01/b,125.39,-0.0072,366740.0
BIRK,10020000000.0,,0.0507,0.0935,0.0608,3.06,1.34,0.47,0.5,0.5484,0.2569,0.12869999999999998,May 15/b,53.36,-0.030699999999999998,1967145.0
BJ,15330000000.0,,0.08199999999999999,0.3276,0.1318,0.77,0.14,1.21,1.37,0.1857,0.041100000000000005,0.0276,May 22/b,116.07,0.0009,530298.0
BK,63890000000.0,0.0219,0.0108,0.11289999999999999,0.0613,1.91,,0.72,1.64,,0.1448,0.11349999999999999,Apr 11/b,89.3,0.0013,1421941.0
BKR,36350000000.0,0.025,0.07780000000000001,0.1804,0.1272,1.34,0.93,0.35,0.35,0.2169,0.12480000000000001,0.1051,Apr 22/a,36.69,0.0026,1743891.0
BLDR,11940000000.0,,0.0809,0.1962,0.0977,1.82,1.07,1.14,1.17,0.3215,0.087,0.056600000000000004,May 01/b,108.02,-0.0166,749637.0
BMRN,11030000000.0,,0.0747,0.0964,0.08199999999999999,5.52,3.49,0.1,0.11,0.7825,0.2144,0.1793,May 01/a,57.51,-0.0087,519476.0
BMY,95590000000.0,0.053,0.056600000000000004,0.31989999999999996,0.08349999999999999,1.28,1.17,2.73,2.95,0.5916,0.2293,0.11380000000000001,Apr 24/b,46.97,-0.0012,4029888.0
BN,94680000000.0,0.0063,0.0012,0.013600000000000001,0.0017000000000000001,,,4.66,5.51,0.2447,0.198,0.0054,May 08/b,57.47,0.0052,635110.0
BNS,65099999999.99999,0.0587,0.0048,0.0834,0.053,0.61,,0.46,2.77,,0.10279999999999999,0.0836,May 27/b,52.27,0.0126,743211.0
BNTX,23450000000.0,,-0.0346,-0.0387,-0.0393,10.18,10.02,0.01,0.02,0.7948000000000001,-0.2398,-0.27390000000000003,May 05/b,97.54,-0.0154,302543.0
BP,458460000000.0,0.068,-0.0043,-0.0187,-0.0098,1.22,0.92,1.09,1.22,0.1499,0.0676,-0.0064,Apr 29/b,29.04,0.0034999999999999996,5261902.0
BRK-B,1086920000000.0001,,0.0724,0.132,0.1039,6.35,6.02,0.19,0.21,0.23579999999999998,0.15289999999999998,0.21789999999999998,May 05/b,503.6,0.0001,1641089.0
BRO,31790000000.0,0.0055000000000000005,0.0646,0.1618,0.0949,,,0.57,0.59,0.9527,0.308,0.20579999999999998,Apr 28/a,110.93,0.0045000000000000005,512169.0
BROS,11260000000.0,,0.018000000000000002,0.0857,0.0278,1.95,1.75,1.62,1.7,0.2622,0.08199999999999999,0.032,May 07/a,68.45,-0.0001,1170133.0
BSX,154810000000.0,,0.0529,0.0965,0.0613,1.45,0.88,0.49,0.53,0.6184000000000001,0.1656,0.1158,Apr 23/b,104.64,0.0014000000000000002,1807899.0
BSY,14400000000.0,0.0058,0.0757,0.252,0.10800000000000001,0.49,0.49,1.16,1.17,0.7881,0.23929999999999998,0.18460000000000001,May 07/b,47.48,-0.0037,338493.0
BTI,99270000000.0,0.0693,0.0252,0.0587,0.0368,0.76,0.52,0.66,0.74,0.6318,0.1441,0.11460000000000001,Feb 13/b,45.25,0.0146,2784545.0
BUD,121110000000.0,0.0178,0.027200000000000002,0.0731,0.0393,0.7,0.54,0.9,0.92,0.5525,0.2457,0.098,May 08/b,69.07,0.0105,1032642.0
BURL,14930000000.0,,0.0611,0.4255,0.0817,1.16,0.61,3.5,3.92,0.4008,0.06849999999999999,0.047400000000000005,May 29/b,237.04,-0.0851,1020449.0
BWXT,10760000000.0,0.0069,0.0989,0.2824,0.1264,2.02,1.91,1.08,1.09,0.24109999999999998,0.1164,0.1039,May 05/a,117.72,0.09390000000000001,1146106.0
BX,166020000000.0,0.030699999999999998,0.0599,0.3407,0.1217,,,1.62,1.68,0.9948999999999999,0.5155,0.2014,Apr 17/b,136.85,-0.0006,1235745.0
BXP,11270000000.0,0.0605,-0.0002,-0.001,-0.0003,,,2.73,3.02,0.3457,0.2979,-0.0016,Apr 29/a,64.77,0.0022,519946.0
C,136800000000.00002,0.0316,0.0053,0.063,0.023799999999999998,0.95,,1.41,3.54,,0.1093,0.0721,Apr 15/b,73.25,-0.0024,4086705.0
CAG,10650000000.0,0.06269999999999999,0.0154,0.036699999999999997,0.0219,0.69,0.23,0.71,0.93,0.2643,0.135,0.027999999999999997,Apr 03/b,22.32,0.0003,3524025.0
CAH,36450000000.0,0.013500000000000002,0.0325,,0.3718,0.94,0.5,,,0.034,0.010700000000000001,0.006999999999999999,May 01/b,152.7,0.0014000000000000002,691964.0
CARR,60980000000.0,0.0129,0.08449999999999999,0.2569,0.1607,1.2,0.83,0.83,0.84,0.27690000000000003,0.1226,0.177,May 01/b,71.13,-0.0089,2173247.0
CART,12310000000.0,,0.1032,0.12960000000000002,0.1263,3.24,3.24,0.0,0.01,0.7467,0.1459,0.1233,May 01/a,47.2,0.0036,1558456.0
CAT,161850000000.0,0.0169,0.11779999999999999,0.5567,0.22649999999999998,1.32,0.77,1.43,2.14,0.35619999999999996,0.1981,0.15710000000000002,Apr 30/b,344.14,-0.0031,905826.0
CB,114840000000.0,0.0132,0.0385,0.134,0.10339999999999999,0.44,,0.25,0.29,,0.18280000000000002,0.1499,Apr 22/a,286.57,-0.0018,257072.0
CBOE,24210000000.0,0.0113,0.09539999999999998,0.1893,0.133,,,0.35,0.36,0.46380000000000005,0.2889,0.18510000000000001,May 02/b,231.19,0.0121,298236.0
CBRE,36310000000.0,,0.0407,0.1215,0.0741,,,0.64,1.09,0.17550000000000002,0.0369,0.0274,Apr 24/b,121.79,0.0113,1007188.0
CCEP,41190000000.0,0.0265,0.0475,0.1743,0.08039999999999999,0.81,0.62,1.17,1.33,0.344,0.1168,0.0694,Feb 14/b,89.4,0.0091,589366.0
CCI,43550000000.0,0.048499999999999995,-0.136,-1.9853999999999998,-0.1444,,,,,0.4808,0.3749,-0.6426000000000001,Apr 30/a,100.0,0.0008,829056.0
CCJ,25210000000.0,0.0025,0.0262,0.0393,0.034,2.71,1.26,0.15,0.15,0.2511,0.16190000000000002,0.075,May 01/b,57.9,0.0964,8755174.0
CCK,11330000000.0,0.0089,0.038599999999999995,0.213,0.0724,0.87,0.56,1.82,2.47,0.1832,0.1332,0.0461,Apr 28/a,97.34,-0.0075,373981.0
CCL,28820000000.0,,0.0418,0.2587,0.0572,0.23,0.18,2.91,3.09,0.2803,0.15109999999999998,0.08070000000000001,Mar 21/b,22.23,-0.0089,9046404.0
CDNS,86390000000.0,,0.14679999999999999,0.25920000000000004,0.1491,3.07,2.9,0.52,0.52,0.8515999999999999,0.306,0.22190000000000001,Apr 28/a,316.39,-0.0008,434810.0
CDW,23980000000.0,0.0139,0.077,0.48710000000000003,0.1344,1.32,1.2,2.48,2.73,0.2186,0.0797,0.051,May 07/b,182.09,-0.006999999999999999,644858.0
CEG,94180000000.0,0.0053,0.0572,0.24710000000000001,0.1472,1.47,1.24,0.57,0.65,0.2228,0.198,0.12179999999999999,May 06/b,300.5,0.031,3019623.0
CF,14440000000.0,0.0226,0.0983,0.2614,0.1673,2.59,2.22,0.67,0.69,0.37929999999999997,0.32780000000000004,0.218,May 07/a,89.11,0.0023,489793.0
CFG,17190000000.0,0.0432,0.006999999999999999,0.0637,0.0398,0.1,,0.42,0.5,,0.1654,0.1153,Apr 16/b,39.64,-0.0031,1648091.0
CG,16000000000.0,0.0321,0.0483,0.20379999999999998,0.0692,,,1.81,1.88,0.5876,0.275,0.1907,May 08/b,44.31,-0.0028000000000000004,1123294.0
CHD,23640000000.0,0.0123,0.066,0.1335,0.0834,1.95,1.43,0.52,0.53,0.4353,0.1902,0.09519999999999999,May 01/b,95.97,0.008,824131.0
CHRW,11400000000.0,0.026099999999999998,0.095,0.3211,0.17370000000000002,1.29,1.29,0.69,1.0,0.079,0.0426,0.029300000000000003,Apr 30/a,95.98,-0.005600000000000001,362414.0
CHTR,114540000000.0,,0.0347,0.36939999999999995,0.048,0.36,0.36,5.66,5.81,0.47759999999999997,0.245,0.0942,Apr 25/b,408.02,-0.004699999999999999,538907.0
CHWY,18110000000.0,,0.1183,1.0178,0.5141,0.75,0.37,1.92,2.05,0.28300000000000003,0.0096,0.0331,Jun 11/b,43.78,-0.0034000000000000002,3216282.0
CI,83810000000.0,0.0231,0.0342,0.12369999999999999,0.0755,0.78,,0.66,0.76,,0.0341,0.019799999999999998,May 02/b,313.73,0.0034000000000000002,865977.0
CIEN,11370000000.0,,0.0141,0.0276,0.0182,3.65,2.77,0.56,0.57,0.3953,0.0454,0.0195,Jun 05/b,80.0,-0.0016,290188.0
CL,74830000000.0,0.0225,0.1744,9.7707,0.4178,0.85,0.54,18.1,22.78,0.6073,0.223,0.1452,Apr 25/b,92.33,0.0158,3382582.0
CLS,13880000000.0,,0.0732,0.2587,0.1637,1.43,0.85,0.66,0.69,0.10339999999999999,0.0621,0.04190000000000001,Apr 24/a,120.72,0.0203,2002312.0
