Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
CARR,60960000000.0,16.32,20.57,1.12,2.65,4.41,35.82,115.46,0.183,0.1418,-0.281,0.1451,0.044800000000000006,71.11,-0.0092,2171247.0
CART,12310000000.0,31.0,22.02,1.83,3.56,3.9,6.99,15.16,0.0978,0.23579999999999998,,0.16949999999999998,0.2339,47.2,0.0036,1557148.0
CAT,161770000000.0,16.76,16.3,6.21,2.56,8.97,45.42,20.54,-0.1425,0.1234,0.1548,0.027000000000000003,0.0516,343.96,-0.0036,905717.0
CB,114860000000.0,13.8,11.22,1.83,2.04,1.75,,7.19,-0.0487,0.19329999999999997,0.1852,0.0753,0.1039,286.64,-0.0016,256490.0
CBOE,24210000000.0,30.31,23.2,4.04,5.59,5.44,21.51,23.18,0.09820000000000001,0.0538,0.16690000000000002,0.0751,0.1128,231.19,0.0121,297601.0
CBRE,36300000000.0,37.18,17.29,2.2,0.99,4.4,23.99,25.56,0.16940000000000002,0.1809,-0.0355,0.1689,0.0857,121.76,0.0111,1004827.0
CCEP,41220000000.0,26.89,17.64,3.74,1.86,4.69,23.24,18.17,0.0516,0.0816,0.0496,0.0718,0.11349999999999999,89.45,0.0097,587768.0
CCI,43530000000.0,,35.49,,7.27,,186.04,22.97,1.0833,2.7672000000000003,,,0.0282,99.97,0.0005,827671.0
CCJ,25230000000.0,142.39,36.91,2.43,10.68,5.59,100.47,56.0,0.8717,0.777,0.15410000000000001,0.586,0.1164,57.97,0.09759999999999999,8745343.0
CCK,11330000000.0,20.92,12.75,2.31,0.95,4.21,12.89,8.69,0.0987,0.08439999999999999,-0.0125,0.0906,0.013600000000000001,97.35,-0.0074,372369.0
CCL,28830000000.0,14.81,10.33,0.73,1.13,3.17,34.61,14.53,0.319,0.1493,-0.19760000000000003,0.2041,0.9841,22.24,-0.0087,9023637.0
CDNS,86390000000.0,80.13,40.77,5.63,17.72,18.09,31.1,62.68,0.1338,0.1466,0.018000000000000002,0.1423,0.1474,316.4,-0.0007000000000000001,434441.0
